productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
,FR,13,155486,0.04000
,FR,13,116615,0.03000
,FR,13,77743,0.02000
,FR,13,58307,0.01500
,FR,13,38872,0.01000
,FR,13,19436,0.00500
,FR,13,3887,0.00100
,FR,13,1944,0.00050
,FR,13,389,0.00010
,FR,13,0,0.00000
,FR,14,4159766,1.00000
,FR,14,2079883,0.50000
,FR,14,1663906,0.40000
,FR,14,1247930,0.30000
,FR,14,831953,0.20000
,FR,14,623965,0.15000
,FR,14,415977,0.10000
,FR,14,207988,0.05000
,FR,14,166391,0.04000
,FR,14,124793,0.03000
,FR,14,83195,0.02000
,FR,14,62396,0.01500
,FR,14,41598,0.01000
,FR,14,20799,0.00500
,FR,14,4160,0.00100
,FR,14,2080,0.00050
,FR,14,416,0.00010
,FR,14,0,0.00000
,FR,15,4572853,1.00000
,FR,15,2286427,0.50000
,FR,15,1829141,0.40000
,FR,15,1371856,0.30000
,FR,15,914571,0.20000
,FR,15,685928,0.15000
,FR,15,457285,0.10000
,FR,15,228643,0.05000
,FR,15,182914,0.04000
,FR,15,137186,0.03000
,FR,15,91457,0.02000
,FR,15,68593,0.01500
,FR,15,45729,0.01000
,FR,15,22864,0.00500
,FR,15,4573,0.00100
,FR,15,2286,0.00050
,FR,15,457,0.00010
,FR,15,0,0.00000
,FR,16,4149991,1.00000
,FR,16,2074996,0.50000
,FR,16,1659996,0.40000
,FR,16,1244997,0.30000
,FR,16,829998,0.20000
,FR,16,622499,0.15000
,FR,16,414999,0.10000
,FR,16,207500,0.05000
,FR,16,166000,0.04000
,FR,16,124500,0.03000
,FR,16,83000,0.02000
,FR,16,62250,0.01500
,FR,16,41500,0.01000
,FR,16,20750,0.00500
,FR,16,4150,0.00100
,FR,16,2075,0.00050
,FR,16,415,0.00010
,FR,16,0,0.00000
,FR,17,4288884,1.00000
,FR,17,2144442,0.50000
,FR,17,1715554,0.40000
,FR,17,1286665,0.30000
,FR,17,857777,0.20000
,FR,17,643333,0.15000
,FR,17,428888,0.10000
,FR,17,214444,0.05000
,FR,17,171555,0.04000
,FR,17,128667,0.03000
,FR,17,85778,0.02000
,FR,17,64333,0.01500
,FR,17,42889,0.01000
,FR,17,21444,0.00500
,FR,17,4289,0.00100
,FR,17,2144,0.00050
,FR,17,429,0.00010
,FR,17,0,0.00000
,FR,18,4226549,1.00000
,FR,18,2113275,0.50000
,FR,18,1690620,0.40000
,FR,18,1267965,0.30000
