eanInAsinId,asinId,ean,eanInAsinQuantity
,1,9782012272323,1
,2,9782081416659,1
,3,9791029506727,1
,4,9782070544981,1
,5,9783791336749,1
,6,9782014014204,1
,7,9782070421220,1
,8,9782070544998,1
,9,9782290313220,1
,10,9782080708144,1
,11,9782368121245,1
,12,9782212547740,1
,13,9782013980364,1
,14,9782749936734,1
,15,9782070401680,1
,16,9782290310137,1
,17,9782368121269,1
,18,9782290320365,1
,19,9782014008685,1
,20,9782501112291,1
,21,9782266125352,1
,22,9782081602830,1
,23,9782501122795,1
,24,9782253151036,1
,25,9782014014365,1
,26,9782501044998,1
,27,9782754106955,1
,28,9782013980319,1
,29,9782368121092,1
,30,9782358670012,1
,31,9782253152187,1
,32,9780847839766,1
,33,9782012202856,1
,34,9782012600195,1
,35,9783652000062,1
,36,unknown,1
,37,9782501062770,1
,38,9782258147119,1
,39,9782851209153,1
,40,9782707207036,1
,41,9782810413195,1
,42,9782749923918,1
,43,9782719110058,1
,44,9782851208613,1
,45,9782711420964,1
,46,9782810417995,1
,47,9782701158815,1
,48,9782917875537,1
,49,9782081244351,1
,50,9782368121207,1
,51,9782810418800,1
,52,9782501086813,1
,53,9782812911996,1
,54,9782324017827,1
,55,9782707208507,1
,56,9782913545151,1
,57,9782501111638,1
,58,9782850882371,1
,59,9782810417353,1
,60,9782707207456,1
,61,9782719109854,1
,62,9782012316782,1
,63,9782846904827,1
,64,3380231111384,1
,65,9782749928180,1
,66,9782810416561,1
,67,9782749148601,1
,68,9782366022254,1
,69,9782359850642,1
,70,9782812503542,1
,71,3028760480600,1
,72,9782811217990,1
,73,9782749149264,1
,74,3453270083759,1
,75,9782749151045,1
,76,9782749927800,1
,77,3453270084213,1
,78,9782747048484,1
,79,9782749152769,1
,80,5010994980467,1
,81,9782081245624,1
,82,3558380028376,1
,83,9782749930237,1
,84,9782362311352,1
,85,3760045056031,1
,86,9782749930152,1
,87,5414834867602,1
,88,3453131126854,1
,89,9782749930497,1
,90,9782366025347,1
,91,9782810414048,1
,92,9782081245143,1
,93,9782749930916,1
,94,5414834867787,1
,95,3501179845111,1
,96,9782501047142,1
,97,9782221140925,1
,98,9782035838360,1
,99,9782884530996,1
,100,9782732448442,1
,101,9782350212593,1
,102,9782080687531,1
,103,9782605000821,1
,104,9782754023184,1
,105,9782738116956,1
,106,9782709648707,1
,107,9782732881799,1
,108,9782721004475,1
,109,9782810419180,1
,110,9782258075764,1
,111,9782035876539,1
,112,9782501118132,1
,113,9782213630816,1
,114,9782749912530,1
,115,9782501118019,1
,116,9782844945891,1
,117,9782501121941,1
,118,9782368121467,1
,119,9782352041399,1
,120,9782258084742,1
,121,9782370730763,1
,122,9782810417179,1
,123,9782360510764,1
,124,9782359497304,1
,125,9791028503543,1
,126,9782754022538,1
,127,9782350130354,1
,128,9791090085077,1
,129,9791028503789,1
,130,9782746505766,1
,131,9782812200311,1
,132,9782813201232,1
,133,9782258107250,1
,134,9782812312205,1
,135,9782226113870,1
,136,9782081200845,1
,137,9782263052026,1
,138,9782848994901,1
,139,9782711424030,1
,140,9782845677906,1
,141,9782215017134,1
,142,9782366400410,1
,143,9791028504175,1
,144,9782258117518,1
,145,9782390140177,1
,146,9782203334014,1
,147,9782259208871,1
,148,9782753302303,1
,149,9791028504700,1
,150,9782501116732,1
,151,9782732442525,1
,152,9782501118101,1
,153,3474636397525,1
,154,9782367041735,1
,155,9782910718060,1
,156,9782226013941,1
,157,9782756012728,1
,158,9791032904534,1
,159,9791028504533,1
,160,9782810419333,1
,161,9782812307270,1
,162,3474636397532,1
,163,9782848570570,1
,164,9782749927787,1
,165,unknown,1
,166,9782501103428,1
