countryCode,urlImage,productName,salesRanking30DaysAvg,salesRanking90DaysAvg,salesRanking180DaysAvg,salesRankingReference,reviewsRating,reviewsCount,amazonCurrent,amazon30DaysAvg,amazon90DaysAvg,amazon180DaysAvg,amazonLowest,amazonHighest,amazon90DaysOOS,newCurrent,new30DaysAvg,new90DaysAvg,new180DaysAvg,newThirdPartyFBACurrent,newThirdPartyFBA30DaysAvg,newThirdPartyFBA90DaysAvg,newThirdPartyFBA180DaysAvg,newThirdPartyFBALowest,fbaPickPackFee,newThirdPartyFBMCurrent,newThirdPartyFBM30DaysAvg,newThirdPartyFBM90DaysAvg,newThirdPartyFBM180DaysAvg,newOffersCurrentCount,newOffers90DaysAvgCount,countRetrievedLiveOffersNewFBA,countRetrievedLiveOffersNewFBM,buyBoxCurrent,buyBox30DaysAvg,buyBox90DaysAvg,buyBox180DaysAvg,buyBoxLowest,buyBoxHighest,buyBoxSeller,buyBoxIsFBA,buyBoxUnqualified,urlAmazon,urlKeepa,categoriesRoot,categoriesSub,asin,ean,brand,numberOfItems,packageLengthCm,packageWidthCm,packageHeightCm,packageWeightG,isHazmat
fr,https://m.media-amazon.com/images/I/81CQHXRDLQL.jpg,VIERGE... ET FIER DE L'ETRE,330527,398659,402566,Livres,5,1,,,,,€ 6.95,€ 6.95,100 %,,,,,,,,,,€ 2.73,,,,,,,0,0,,,,,€ 6.95,€ 6.95,,no,yes,https://www.amazon.fr/dp/2376300053,https://keepa.com/#!product/4-2376300053,Livres,"Horoscopes, Santé familiale, Psychologie et psychanalyse",2376300053,9782376300052,DE SAXE,1,20.6,15,,80,
fr,https://m.media-amazon.com/images/I/81JiKUHtTmL.jpg,Souvenirs brodés,382702,399944,490072,Livres,4.5,6,,,,,€ 25.90,€ 25.90,100 %,€ 29.00,€ 27.33,€ 26.91,€ 30.59,,,,,,€ 4.45,,€ 31.00,€ 31.63,€ 32.07,3,3,0,3,,€ 28.90,€ 28.88,€ 28.88,€ 25.90,€ 28.90,,no,yes,https://www.amazon.fr/dp/2756533645,https://keepa.com/#!product/4-2756533645,Livres,"Personnages scientifiques, Broderie",2756533645,9782756533643,DE SAXE,1,25.4,20.8,1,480,
fr,https://m.media-amazon.com/images/I/41qYGJI83DL.jpg,Le Barbier de Séville (1 livre + 1 CD audio),501838,373826,506613,Livres,4.5,2,,€ 19.00,€ 19.00,€ 19.00,€ 18.05,€ 19.00,18 %,€ 18.05,€ 18.76,€ 18.92,€ 18.96,,,,,,€ 5.92,,€ 25.53,€ 24.69,€ 24.33,5,7,0,5,€ 22.99,€ 20.28,€ 21.91,€ 20.65,€ 19.00,€ 52.00,3rd Party (AUXOGFPWTO6J3),no,no,https://www.amazon.fr/dp/2884800573,https://keepa.com/#!product/4-2884800573,Livres,"Enseignement et étude, Musique",2884800573,9782884800570,CALLIGRAM,1,29.6,24.4,1,481,
fr,https://m.media-amazon.com/images/I/51l3iAx3hqL.jpg,Le Massage de tête du Dr Wu - La thérapie anti-âge et holistique,442731,487002,396690,Livres,,,,€ 19.95,€ 19.95,€ 19.95,€ 19.95,€ 19.95,2 %,€ 7.50,€ 8.33,€ 11.38,€ 13.48,,,,,€ 19.95,€ 3.82,,€ 17.89,€ 19.13,€ 22.54,2,2,1,1,€ 12.49,€ 13.32,€ 16.69,€ 18.32,€ 12.49,€ 19.95,3rd Party (A3GWE3DSXIU83X),yes,no,https://www.amazon.fr/dp/2710789345,https://keepa.com/#!product/4-2710789345,Livres,"Développement personnel, Santé familiale, Psychologie et psychanalyse, Massages",2710789345,9782710789345,,1,23.7,15.6,1.7,450,
fr,https://m.media-amazon.com/images/I/41AoewrBDsL.jpg,Lou Reed - The Velvet Underground - John Cale - Nico,551092,633988,516657,Livres,4.6,3,,,€ 34.00,€ 34.00,€ 34.00,€ 34.00,91 %,€ 14.00,€ 14.95,€ 18.71,€ 19.99,,,,,€ 33.99,€ 6.97,,€ 25.27,€ 26.14,€ 27.20,5,5,0,5,€ 17.00,€ 18.25,€ 23.55,€ 25.10,€ 17.00,€ 36.99,3rd Party (A2WPEAOES6B9M7),no,no,https://www.amazon.fr/dp/2915126526,https://keepa.com/#!product/4-2915126526,Livres,Art contemporain,2915126526,9782915126525,Editions du Layeur,1,29.9,29.6,2.5,1860,
fr,https://m.media-amazon.com/images/I/51MBnRyBdvL.jpg,"Clichés exotiques le tour du monde en photographies, 1860-1890 (0000)",442107,779249,734667,Livres,,,,€ 39.00,€ 39.00,€ 39.00,€ 39.00,€ 39.00,24 %,,€ 25.01,€ 24.90,€ 24.37,,,,,,€ 3.82,,€ 28.00,€ 28.00,€ 30.81,,4,0,0,,€ 28.01,€ 28.01,€ 31.16,€ 28.00,€ 40.32,,no,yes,https://www.amazon.fr/dp/2916231390,https://keepa.com/#!product/4-2916231390,Livres,Expositions et musées,2916231390,9782916231396,DE MONZA EDITEU,1,26.8,22.6,1.6,360,
fr,https://m.media-amazon.com/images/I/51tpPdvf4jL.jpg;https://m.media-amazon.com/images/I/51jLOQfGPiL.jpg;https://m.media-amazon.com/images/I/5106gm+AmUL.jpg;https://m.media-amazon.com/images/I/51zXOrX-gaL.jpg;https://m.media-amazon.com/images/I/51mtqj3mXWL.jpg,vaincre enfin la cellulite,527425,592676,586059,Livres,4.1,4,,,,,€ 9.46,€ 10.00,100 %,€ 3.20,€ 3.09,€ 3.00,€ 2.97,,,,,,€ 2.19,,€ 5.95,€ 5.95,€ 5.95,8,6,0,5,€ 6.20,€ 6.08,€ 5.99,€ 5.97,€ 5.95,€ 15.62,3rd Party (AKMJ60G3XTCBD),no,no,https://www.amazon.fr/dp/2359340530,https://keepa.com/#!product/4-2359340530,Livres,"Santé familiale, Diététique",2359340530,9782359340532,ALPEN,1,20.8,14,1,41,
fr,https://m.media-amazon.com/images/I/51XxbTjYPmL.jpg;https://m.media-amazon.com/images/I/51gXqs3IAnL.jpg,Rousseau le voile déchiré,230509,230509,230509,Livres,5,1,,,,,€ 4.84,€ 20.00,100 %,€ 5.00,€ 7.85,€ 5.63,€ 6.02,,,,,,€ 3.82,,€ 11.99,€ 11.99,€ 11.99,2,2,0,3,€ 12.00,€ 13.73,€ 10.05,€ 10.50,€ 9.00,€ 20.00,3rd Party (AVEKQZEA1Y7H0),no,no,https://www.amazon.fr/dp/2753301530,https://keepa.com/#!product/4-2753301530,Livres,Romans historiques,2753301530,9782753301535,TELEMAQUE EDIT,1,23.2,15.2,2.4,399,
fr,https://m.media-amazon.com/images/I/51VsHRANrFL.jpg,PEINTURE FLORALE A L'AQUARELLE,418928,397679,445702,Livres,4.4,8,,,,,€ 22.00,€ 22.00,100 %,€ 21.99,€ 20.14,€ 20.66,€ 20.90,,€ 21.22,€ 22.71,€ 23.32,€ 20.99,€ 4.45,,€ 28.00,€ 26.99,€ 33.57,3,4,1,3,,€ 20.99,€ 21.65,€ 22.15,€ 20.90,€ 58.00,,yes,no,https://www.amazon.fr/dp/275653191X,https://keepa.com/#!product/4-275653191X,Livres,"Peinture, Personnages scientifiques, Peinture",275653191X,9782756531915,DE SAXE,1,27.9,21.6,0.9,500,
fr,https://m.media-amazon.com/images/I/51CfaXkTJIL.jpg,Mamika & Co - Grande petite grand-mère et ses futurs anciens amis,460395,412697,373678,Livres,3.7,8,,,,,€ 9.95,€ 29.95,100 %,€ 10.00,€ 12.47,€ 11.35,€ 10.68,€ 50.00,€ 50.00,€ 41.00,€ 27.28,€ 11.00,€ 6.16,€ 17.00,€ 17.00,€ 17.00,€ 16.83,4,4,1,3,,,,,€ 6.94,€ 25.19,,no,no,https://www.amazon.fr/dp/280990801X,https://keepa.com/#!product/4-280990801X,Livres,Expositions et musées,280990801X,9782809908015,Place des Victoires,1,26.6,19.8,2.4,1220,
