formattedCatalogId,ean,supplierPartNumber,productName,productPriceExc,productVatRate,currencyCode
,9782412030868,,"Windows 10 et Internet pour les Nuls grand format, 3e édition",4.91,0.055,EUR
,9782258090088,,L'île de Nera: The edge of nowhere T2 (2),3.07,0.055,EUR
,9782379222085,,Fermenter presque tout avec presque rien,2.95,0.055,EUR
,9782381820101,,Atlas de la France insolite,7.37,0.055,EUR
,9782021170948,,Histoire de chambres,7.37,0.055,EUR
,9791036310676,,"Animal Tatoo saison 2 - Les bêtes suprêmes, Tome 01: Gardiens Immortels",2.33,0.055,EUR
,9791036314674,,Petit Ours Brun aime sa maman,1.23,0.055,EUR
,9782757604762,,Voile - Les courses de légende,9.45,0.055,EUR
,9782813224033,,Les différents visages des passifs-agressifs,4.67,0.055,EUR
,9782743659318,,Les Suicidés du bout du monde: Chronique d'une petite ville de Patagonie,2.21,0.055,EUR
,9782355581656,,"Shaolin, pays de Kungfu",4.6,0.055,EUR
,9782412046128,,"Zones bleues - Les secrets de la longévité: Sardaigne, Japon, Costa Rica, Grèce : à la rencontre de ceux qui vivent mieux et plus longtemps",3.68,0.055,EUR
,9782747051163,,"Animal Tatoo saison 1, Tome 01: Les quatre élus",3.81,0.055,EUR
,9782365495912,,Que ton mouvement soit ton médicament - Restaurez votre santé par le mouvement naturel,6.14,0.055,EUR
,9782492847127,,Love Answers Book,2.7,0.055,EUR
,9791036310669,,"Animal Tatoo saison 2 - Les bêtes suprêmes, Tome 02: Piégés",2.33,0.055,EUR
,9782368560075,,Cosette d'après les Misérables de Victor Hugo,1.84,0.055,EUR
,9782747056915,,Petit Ours Brun et les oeufs de Pâques,1.6,0.055,EUR
,9791023515411,,Voilà le printemps,3.31,0.055,EUR
,9782702921449,,Clarté et connexion - clarity & connection,4.67,0.055,EUR
,9782747067584,,"Maîtres des dragons, Tome 04: Le pouvoir du dragon de feu",1.72,0.055,EUR
,9782843194290,,10 ans après - Vivre heureuse après les violences conjugales,5.77,0.055,EUR
,9782603030325,,Microfermes: Le maraîchage bio à échelle humaine,6.26,0.055,EUR
,9782804705596,,Imagerie mentale et psychothérapie: Un ouvrage sur la psychopathologie cognitive,5.52,0.055,EUR
,9782813226624,,Super Pouvoirs No limit ! - Masterclass pour accéder à sa magie intérieure,4.67,0.055,EUR
,9782745997708,,Pâques,1.47,0.055,EUR
,9782849336069,,Je ne suis pas tout seul dans ma tête - Révélations et évidences d'un médium,5.4,0.055,EUR
,9782745993090,,J'apprends le ski,2.46,0.055,EUR
,9791023515619,,La Chanson des insectes: Bon pour les bébés,4.54,0.055,EUR
,9791023505221,,"À l'école, il y a des règles !",4.54,0.055,EUR
,9782813225290,,Recherche scientifique : un naufrage mondial,6.51,0.055,EUR
