skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,"Expodif-nov.19-7,91-084-LANG",FR,null,7.63,8.05,0,30.00,11.61,0.38700,1.52160,0.00487,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-4,75-085-LANG",FR,null,4.63,4.89,0,17.95,5.99,0.33370,1.29370,0.01594,FALSE,null,2,0.02,1,FALSE
,"Expodif-nov.19-3,69-086",FR,null,3.63,3.83,0,16.50,5.76,0.34910,1.58680,0.03113,FALSE,null,1,0.03,1,FALSE
,"Expodif-nov.19-6,54-087-LANG",FR,X0013LFNWN,6.33,6.68,0,15.00,1.03,0.07230,0.16270,0.00020,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,22-088-LANG",FR,null,4.13,4.36,0,15.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-6,01-089-LANG",FR,null,5.83,6.15,0,22.90,8.97,0.39170,1.53860,0.00233,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-5,28-090",FR,null,5.13,5.42,0,22.50,7.06,0.36910,1.37620,0.00323,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-3,9-091-LANG",FR,null,3.83,4.04,0,15.00,2.92,0.19470,0.76240,0.00444,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-4,75-092-LANG",FR,null,4.63,4.89,0,18.00,6.61,0.36720,1.42760,0.00456,FALSE,null,1,0.01,1,FALSE
,"Expodif-nov.19-4,75-093-LANG",FR,X0013LFPBR,4.63,4.89,0,17.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-2,64-094",FR,null,2.63,2.78,0,21.90,5.38,0.36180,2.04560,0.00564,FALSE,null,1,0.01,1,FALSE
,"Expodif-nov.19-5,28-095-LANG",FR,null,5.13,5.42,0,19.90,6.17,0.32630,1.20270,0.00113,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,43-096-LANG",FR,null,4.33,4.57,0,16.90,3.84,0.22720,0.88680,0.00296,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-5,8-216-LANG",FR,null,5.63,5.94,0,22.00,8.41,0.38230,1.49380,0.02501,FALSE,null,1,0.03,1,FALSE
,"Expodif-nov.19-5,8-098-LANG",FR,null,5.63,5.94,0,22.00,8.99,0.40860,1.59680,0.00626,FALSE,null,1,0.01,1,FALSE
,"Expodif-nov.19-6,54-099-LANG",FR,null,6.33,6.68,0,24.95,7.32,0.29320,1.15580,0.02509,FALSE,null,5,0.03,1,FALSE
,"Expodif-nov.19-6,33-100-LANG",FR,X0013LGFC5,6.13,6.47,0,23.90,8.95,0.38370,1.46000,0.00243,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-3,9-101-LANG",FR,null,3.83,4.04,0,15.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-5,28-102",FR,null,5.13,5.42,0,19.95,7.79,0.37690,1.51850,0.00334,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,75-103",FR,null,4.63,4.89,0,22.90,4.09,0.26030,0.88340,0.00180,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,43-104-LANG",FR,X0013LGFH5,4.33,4.57,0,17.00,5.65,0.34020,1.30370,0.00228,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-4,22-105",FR,X0013LFPBH,4.13,4.36,0,15.90,4.23,0.28730,1.02500,0.00274,FALSE,null,3,0.00,1,FALSE
,"Expodif-nov.19-4,75-106-LANG",FR,null,4.63,4.89,0,18.00,null,null,null,null,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-10,55-107-LANG",FR,null,10.13,10.69,0,39.95,16.48,0.41240,1.62650,0.21783,FALSE,null,9,0.20,1,FALSE
,"Expodif-nov.19-4,75-108",FR,null,4.63,4.89,0,22.95,8.50,0.40190,1.83480,0.06519,FALSE,null,2,0.06,1,FALSE
,"Expodif-nov.19-2,64-109",FR,null,2.63,2.78,0,25.90,0.92,0.09590,0.34980,0.00099,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-8,44-110-LANG",FR,null,8.13,8.58,0,35.50,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-4,75-111-LANG",FR,null,4.63,4.89,0,17.90,5.94,0.33180,1.28290,0.00746,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-6,33-112",FR,null,6.13,6.47,0,20.00,4.78,0.23900,0.77980,0.01614,FALSE,null,1,0.03,1,FALSE
,"Expodif-nov.19-4,22-113-LANG",FR,null,4.13,4.36,0,19.00,7.95,0.41840,1.92490,0.00790,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-4,22-114-LANG",FR,null,4.13,4.36,0,15.90,1.22,0.07850,0.29460,0.00203,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-4,22-115-LANG",FR,null,4.13,4.36,0,17.00,6.26,0.36820,1.51570,0.00428,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-3,69-116",FR,null,3.63,3.83,0,25.25,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-7,91-117-LANG",FR,null,7.63,8.05,0,29.95,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-7,91-118-LANG",FR,null,7.63,8.05,0,29.95,-4.65,-0.42700,-0.60940,-0.00326,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-4,43-119-LANG",FR,null,4.33,4.57,0,17.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-4,22-120-LANG",FR,null,4.13,4.36,0,16.00,5.42,0.33880,1.31230,0.02786,FALSE,null,2,0.03,1,FALSE
,"Expodif-nov.19-4,75-121-LANG",FR,null,4.63,4.89,0,18.00,5.36,0.30920,1.15830,0.00546,FALSE,null,5,0.01,1,FALSE
,"Expodif-nov.19-4,11-122-LANG",FR,null,4.03,4.25,0,15.50,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-5,28-123-LANG",FR,X0013LFNZZ,5.13,5.42,0,19.95,6.32,0.33350,1.23200,0.00095,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-15,83-124-LANG",FR,null,15.13,15.97,0,60.00,24.78,0.43470,1.63780,0.00138,FALSE,null,1,0.00,1,FALSE
