skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,54-91BV-PNZ6,FR,null,0.00,0.00,0,9.99,2.77,0.27730,null,null,FALSE,null,2,0.01,1,FALSE
,8K-89QT-O64E,FR,null,0.00,0.00,0,7.41,0.31,0.05410,null,null,FALSE,null,1,0.00,1,FALSE
,GC-U8AO-WGK6,FR,null,4.74,5.00,0,15.00,2.06,0.14840,0.43460,0.01614,FALSE,null,15,0.04,1,FALSE
,IB-TEJJ-MW9J,FR,null,0.00,0.00,0,8.70,null,null,null,null,FALSE,null,0,null,1,FALSE
,JD-4DO4-HB8F,FR,null,0.00,0.00,0,8.74,null,null,null,null,FALSE,null,1,0.00,1,FALSE
,MJ-RX44-HGK3,FR,null,2.69,2.84,0,9.95,1.38,0.14750,0.51420,0.00416,FALSE,null,3,0.01,1,FALSE
,MU-EMRT-WHXP,FR,null,0.00,0.00,0,9.00,0.78,0.15690,null,null,FALSE,null,1,0.00,1,FALSE
,PC-PM38-9W51,FR,null,0.00,0.00,0,8.70,1.43,0.23990,null,null,FALSE,null,1,0.00,1,FALSE
,T6-0FQU-S8B5,FR,null,0.00,0.00,0,5.69,0.01,0.00180,null,null,FALSE,null,1,0.00,1,FALSE
,V9-2OXD-BQVF,FR,null,0.00,0.00,0,5.71,0.13,0.02690,null,null,FALSE,null,1,0.00,1,FALSE
,X9-09S3-7DPM,FR,null,4.74,5.00,0,22.50,7.99,0.35510,1.68570,0.03348,FALSE,null,1,0.03,1,FALSE
,03-MOXK-KA0S,FR,null,0.00,0.00,0,6.98,1.95,0.27940,null,null,FALSE,null,1,0.01,1,FALSE
,2V-OCFZ-GWCW,FR,null,4.49,4.74,0,14.90,2.01,0.13490,0.44770,0.01330,FALSE,null,1,0.04,1,FALSE
,4H-5Y5M-207F,FR,null,0.00,0.00,0,20.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,4H-E8IP-74MH,FR,null,0.00,0.00,0,4.79,null,null,null,null,FALSE,null,0,null,1,FALSE
,56-B8J8-TXZL,FR,null,0.00,0.00,0,5.69,0.28,0.04920,null,null,FALSE,null,1,0.01,1,FALSE
,7Y-YFL4-3Q6Y,FR,null,4.74,5.00,0,22.50,8.32,0.36960,1.75450,0.13152,FALSE,null,5,0.12,1,FALSE
,AU-OIT8-XA9N,FR,null,0.00,0.00,0,5.11,0.36,0.07050,null,null,FALSE,null,1,0.01,1,FALSE
,B8-B3SK-B1QR,FR,null,3.59,3.79,0,12.90,0.27,0.02090,0.07520,0.01829,FALSE,null,2,0.25,1,FALSE
,BU-I950-6PER,FR,null,4.74,5.00,0,19.87,7.63,0.43510,1.61070,0.11952,FALSE,null,10,0.12,1,FALSE
,CF-SZ91-4JWZ,FR,null,0.00,0.00,0,4.59,0.46,0.10020,null,null,FALSE,null,1,0.01,1,FALSE
,EY-2VLE-UGQ9,FR,null,0.00,0.00,0,5.69,0.43,0.05730,null,null,FALSE,null,1,0.04,1,FALSE
,FA-YKH2-6UWP,FR,null,4.74,5.00,0,14.90,3.41,0.22890,0.71940,0.04096,FALSE,null,4,0.07,1,FALSE
,FM-6RG2-8KKU,FR,null,0.00,0.00,0,5.69,1.61,0.21470,null,null,FALSE,null,1,0.03,1,FALSE
,IA-QB57-1V2F,FR,null,2.69,2.84,0,9.95,1.79,0.17990,0.66540,0.01558,FALSE,null,3,0.03,1,FALSE
,IX-FKQK-GOHM,FR,null,0.00,0.00,0,20.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,J8-Y8B7-SA6C,FR,null,13.02,13.74,0,30.94,null,null,null,null,FALSE,null,1,0.02,1,FALSE
,JV-1QAV-RFY2,FR,null,4.49,4.74,0,13.95,2.61,0.22460,0.58130,0.00605,FALSE,null,1,0.01,1,FALSE
,L7-9QOI-036O,FR,null,4.74,5.00,0,22.48,9.61,0.42750,2.02740,0.01642,FALSE,null,1,0.01,1,FALSE
,PS-D9OS-YUJQ,FR,null,17.97,18.96,0,50.00,14.48,0.28960,0.80580,0.08810,FALSE,null,1,0.14,1,FALSE
,PX-BIU8-MXMR,FR,null,0.00,0.00,0,4.73,0.58,0.12260,null,null,FALSE,null,1,0.01,1,FALSE
,SG-3F5P-6CGS,FR,null,22.46,23.70,0,50.00,null,null,null,null,FALSE,null,1,0.02,1,FALSE
,TD-4P0I-OEOQ,FR,null,5.39,5.69,0,22.00,5.86,0.26640,1.08720,0.02871,FALSE,null,1,0.04,1,FALSE
,U2-RHEM-YL94,FR,null,4.49,4.74,0,15.00,3.50,0.28000,0.77950,0.00761,FALSE,null,1,0.01,1,FALSE
,Z9-2OUN-CPT8,FR,null,10.78,11.37,0,30.00,8.95,0.29830,0.83020,0.02264,FALSE,null,2,0.04,1,FALSE
,ZD-90BA-NOGU,FR,null,0.00,0.00,0,7.90,null,null,null,null,FALSE,null,1,0.01,1,FALSE
,ZR-C1JJ-SZGQ,FR,null,2.69,2.84,0,12.00,2.26,0.18830,0.84010,0.05446,FALSE,null,2,0.09,1,FALSE
,4K-CIJ7-9A6J,FR,null,11.37,12.00,0,39.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,GY-J9CA-8CAH,FR,null,9.48,10.00,0,35.00,14.27,0.48920,1.50530,0.01061,FALSE,null,1,0.01,1,FALSE
,0A-4FBZ-CQMW,FR,null,9.48,10.00,0,14.90,-2.72,-0.18260,-0.28690,-0.00371,FALSE,null,1,0.01,1,FALSE
,3X-JR53-VKQ7,FR,null,9.48,10.00,0,27.00,0.46,0.02440,0.04850,0.00044,FALSE,null,3,0.01,1,FALSE
,6D-9G9Q-RM58,FR,null,9.48,10.00,0,39.95,5.03,0.20560,0.53010,0.00623,FALSE,null,4,0.01,1,FALSE
,7S-1Z8W-P0IR,FR,null,11.37,12.00,0,22.90,2.19,0.09560,0.19260,0.00595,FALSE,null,5,0.03,1,FALSE
,8R-2ZMZ-IUVJ,FR,null,11.37,12.00,0,29.90,0.56,0.02660,0.04930,0.00015,FALSE,null,1,0.00,1,FALSE
,94-1CEP-8WLY,FR,null,4.74,5.00,0,19.90,0.42,0.03670,0.08860,0.00041,FALSE,null,1,0.00,1,FALSE
,9V-B0N5-WM40,FR,null,4.74,5.00,0,10.90,0.54,0.04950,0.11390,0.00179,FALSE,null,3,0.02,1,FALSE
,GN-PE97-V71I,FR,null,4.74,5.00,0,12.90,2.19,0.16980,0.46200,0.00245,FALSE,null,2,0.01,1,FALSE
,HS-6JSV-OLR6,FR,null,4.74,5.00,0,20.50,0.22,0.01950,0.04640,0.00018,FALSE,null,1,0.00,1,FALSE
,KY-AYJP-11M6,FR,null,11.37,12.00,0,17.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,MO-ZFGH-EXCF,FR,null,4.74,5.00,0,13.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,QH-GSF1-6TZL,FR,null,4.74,5.00,0,16.95,null,null,null,null,FALSE,null,0,null,1,FALSE
,QR-MWMF-GR1V,FR,null,2.84,3.00,0,15.90,5.68,0.38430,2.00000,0.00343,FALSE,null,1,0.00,1,FALSE
,RJ-JGXB-QF11,FR,null,4.74,5.00,0,19.90,2.77,0.18490,0.58390,0.01040,FALSE,null,5,0.02,1,FALSE
,RK-3NR0-MZHZ,FR,null,9.48,10.00,0,19.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,V1-B5QH-24AW,FR,null,9.48,10.00,0,23.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,VB-NBKA-KB1K,FR,null,4.74,5.00,0,19.90,0.28,0.02200,0.05910,0.00036,FALSE,null,2,0.01,1,FALSE
,4K-M120-J5QP,FR,null,4.74,5.00,0,15.08,3.32,0.22020,0.70040,0.05038,FALSE,null,5,0.09,1,FALSE
,AM-L7LP-DF70,FR,null,18.96,20.00,0,22.99,-7.16,-0.31140,-0.37760,-0.03582,FALSE,null,1,0.08,1,FALSE
,N4-VZ1O-1A12,FR,null,5.69,6.00,0,19.90,6.46,0.32460,1.13530,0.08048,FALSE,null,5,0.10,1,FALSE
,NR-NO5K-ENPR,FR,null,9.48,10.00,0,28.00,null,null,null,null,FALSE,null,1,0.01,1,FALSE
,QG-7HGE-WBB7,FR,null,7.58,8.00,0,19.90,3.43,0.17240,0.45250,0.00325,FALSE,null,1,0.01,1,FALSE
,W9-AB0P-OT1K,FR,null,7.58,8.00,0,22.48,6.97,0.37210,0.91950,0.01828,FALSE,null,2,0.03,1,FALSE
,ZQ-RX87-7XIN,FR,null,9.48,10.00,0,22.90,3.98,0.17380,0.41980,0.00222,FALSE,null,1,0.01,1,FALSE
,2Q-37YM-UIMF,FR,null,0.00,0.00,0,10.00,5.60,0.50750,null,null,FALSE,null,5,0.01,1,FALSE
,70-Z6ZU-TDOJ,FR,null,0.00,0.00,0,10.93,3.90,0.39080,null,null,FALSE,null,4,0.01,1,FALSE
,B0-N8QK-ARPT,FR,null,0.00,0.00,0,16.42,null,null,null,null,FALSE,null,1,0.00,1,FALSE
,E2-X6WB-0TGO,FR,null,0.00,0.00,0,13.00,6.36,0.49490,null,null,FALSE,null,3,0.01,1,FALSE
,E7-9VR2-3VY6,FR,null,0.00,0.00,0,14.95,1.13,0.12610,null,null,FALSE,null,2,0.01,1,FALSE
,JX-8JFV-J88T,FR,null,0.00,0.00,0,12.96,1.47,0.20730,null,null,FALSE,null,1,0.00,1,FALSE
,K4-IHEZ-KSIN,FR,null,0.00,0.00,0,17.32,7.01,0.48320,null,null,FALSE,null,2,0.01,1,FALSE
,MO-6VPU-FUHS,FR,null,0.00,0.00,0,34.97,22.45,0.65600,null,null,FALSE,null,5,0.02,1,FALSE
,MT-0S2E-7Z5E,FR,null,0.00,0.00,0,18.19,7.27,0.51970,null,null,FALSE,null,1,0.00,1,FALSE
,Q4-RES0-2ML7,FR,null,0.00,0.00,0,9.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,SI-3QBQ-572B,FR,null,0.00,0.00,0,14.99,6.15,0.54350,null,null,FALSE,null,2,0.01,1,FALSE
,TW-ARTM-LZ4O,FR,null,0.00,0.00,0,11.82,3.91,0.39260,null,null,FALSE,null,1,0.00,1,FALSE
,1I-I684-5SE9,FR,null,0.00,0.00,0,14.00,7.14,0.51000,null,null,FALSE,null,1,0.02,1,FALSE
,20-97M4-7G6V,FR,null,0.00,0.00,0,15.04,9.59,0.63760,null,null,FALSE,null,1,0.01,1,FALSE
,2J-GLTQ-21EK,FR,null,0.00,0.00,0,16.91,9.81,0.69620,null,null,FALSE,null,1,0.02,1,FALSE
,43-W4EY-9ZDR,FR,null,0.00,0.00,0,14.49,7.82,0.55860,null,null,FALSE,null,1,0.02,1,FALSE
,4N-N6W8-IV25,FR,null,0.00,0.00,0,35.98,23.44,0.65150,null,null,FALSE,null,1,0.07,1,FALSE
,53-YC2P-2IFD,FR,null,0.00,0.00,0,12.16,3.11,0.25580,null,null,FALSE,null,1,0.01,1,FALSE
,5Z-5CVX-Z4QK,FR,null,0.00,0.00,0,16.70,9.62,0.57100,null,null,FALSE,null,3,0.07,1,FALSE
,6H-Y5P7-UENE,FR,null,0.00,0.00,0,23.17,13.81,0.59600,null,null,FALSE,null,1,0.03,1,FALSE
,9P-5FYM-KJRL,FR,null,0.00,0.00,0,12.88,6.39,0.59550,null,null,FALSE,null,1,0.01,1,FALSE
,CG-76C7-NKJQ,FR,null,0.00,0.00,0,19.27,11.09,0.69050,null,null,FALSE,null,1,0.02,1,FALSE
,EC-CR31-F2ZW,FR,null,0.00,0.00,0,15.00,6.75,0.45000,null,null,FALSE,null,1,0.01,1,FALSE
,EK-N2ZO-BZIC,FR,null,0.00,0.00,0,35.50,null,null,null,null,FALSE,null,0,null,1,FALSE
,G5-T74N-ULAV,FR,null,0.00,0.00,0,16.00,null,null,null,null,FALSE,null,1,0.01,1,FALSE
,HN-WHWG-U6PJ,FR,null,0.00,0.00,0,14.95,6.94,0.46420,null,null,FALSE,null,1,0.03,1,FALSE
,I6-A4P5-Z0Z7,FR,null,0.00,0.00,0,15.00,6.89,0.45960,null,null,FALSE,null,3,0.02,1,FALSE
,IT-KFTT-4S6T,FR,null,0.00,0.00,0,14.00,7.27,0.51950,null,null,FALSE,null,3,0.02,1,FALSE
,L4-EWOV-H0GJ,FR,null,0.00,0.00,0,37.45,24.60,0.65690,null,null,FALSE,null,2,0.02,1,FALSE
,LU-MV6X-A90V,FR,null,0.00,0.00,0,16.20,9.01,0.55620,null,null,FALSE,null,1,0.03,1,FALSE
,QT-02ZQ-W52S,FR,null,0.00,0.00,0,17.99,null,null,null,null,FALSE,null,1,0.00,1,FALSE
,Z0-WMKZ-CD7C,FR,null,0.00,0.00,0,17.64,10.84,0.61450,null,null,FALSE,null,1,0.07,1,FALSE
,1C-PAHE-G0YU,FR,null,3.62,3.82,0,20.90,0.20,0.01540,0.05520,0.00025,FALSE,null,1,0.00,1,FALSE
,49-JUBI-8MRF,FR,null,3.62,3.82,0,15.90,null,null,null,null,FALSE,null,1,0.00,1,FALSE
,4E-1AWR-4NKX,FR,null,3.62,3.82,0,16.90,0.17,0.01670,0.04560,0.00017,FALSE,null,2,0.00,1,FALSE
,63-GOX9-1QGT,FR,null,3.62,3.82,0,19.90,9.72,0.42480,2.68510,0.00445,FALSE,null,1,0.00,1,FALSE
,8L-J29P-L7LA,FR,null,3.62,3.82,0,14.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,AG-6239-GVE0,FR,null,3.62,3.82,0,17.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,BN-NF2T-YWH3,FR,null,3.62,3.82,0,16.90,0.18,0.01960,0.04970,0.00017,FALSE,null,1,0.00,1,FALSE
,CG-RVFT-KN8M,FR,null,3.62,3.82,0,39.00,5.01,0.28710,1.38400,0.00168,FALSE,null,1,0.00,1,FALSE
,E5-REOU-G5QD,FR,null,8.53,9.00,0,18.00,2.21,0.12280,0.25910,0.00142,FALSE,null,1,0.01,1,FALSE
,FB-PH91-1AO4,FR,null,3.62,3.82,0,16.90,0.17,0.01720,0.04700,0.00017,FALSE,null,1,0.00,1,FALSE
,GN-1EYU-6AQG,FR,null,3.62,3.82,0,16.90,0.17,0.01720,0.04700,0.00014,FALSE,null,1,0.00,1,FALSE
,GS-CG1A-W8QP,FR,null,3.62,3.82,0,14.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,IA-RHCF-FTPS,FR,null,3.62,3.82,0,27.99,2.51,0.19860,0.69340,0.00105,FALSE,null,1,0.00,1,FALSE
,J2-HFHT-8P1G,FR,null,5.69,6.00,0,16.90,0.27,0.02170,0.04750,0.00027,FALSE,null,2,0.01,1,FALSE
,ST-NXZ7-QDBF,FR,null,3.62,3.82,0,13.90,0.17,0.01850,0.04700,0.00014,FALSE,null,1,0.00,1,FALSE
,5R-D134-E9IA,FR,null,3.62,3.82,0,24.00,11.01,0.45880,3.04140,0.08562,FALSE,null,1,0.06,1,FALSE
,76-AI1X-T4KK,FR,null,4.74,5.00,0,17.88,5.90,0.39600,1.24470,0.02304,FALSE,null,2,0.03,1,FALSE
,DO-UK38-KXH9,FR,null,3.62,3.82,0,39.90,24.41,0.61180,6.74310,0.04875,FALSE,null,1,0.02,1,FALSE
,H2-8091-DEEN,FR,null,3.62,3.82,0,19.90,8.73,0.43870,2.41160,0.01235,FALSE,null,1,0.01,1,FALSE
,II-0VT3-9LH1,FR,null,4.74,5.00,0,17.90,5.71,0.31900,1.20460,0.02764,FALSE,null,1,0.03,1,FALSE
,UY-ZEHS-5PEQ,FR,null,3.62,3.82,0,28.00,12.95,0.55510,3.57730,0.02197,FALSE,null,1,0.01,1,FALSE
,VB-8PRT-J7BO,FR,null,5.69,6.00,0,19.90,6.66,0.33440,1.16960,0.09949,FALSE,null,6,0.12,1,FALSE
,YP-ASAY-IGWR,FR,null,4.74,5.00,0,18.00,6.76,0.42050,1.42620,0.05846,FALSE,null,5,0.06,1,FALSE
,14-GW47-T4M5,FR,null,2.10,2.22,0,14.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,15-110D-T49F,FR,null,4.74,5.00,0,19.00,6.71,0.35290,1.41460,0.00537,FALSE,null,2,0.01,1,FALSE
,16-4ZUA-CQ7S,FR,null,2.10,2.22,0,12.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,20-MFPU-WL4J,FR,null,4.74,5.00,0,14.58,null,null,null,null,FALSE,null,0,null,1,FALSE
,37-E4IE-G3UE,FR,null,2.10,2.22,0,12.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,43-4OO1-1LVK,FR,null,2.10,2.22,0,12.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,4N-P8IG-M6FG,FR,null,4.74,5.00,0,14.00,0.53,0.05170,0.11180,0.00059,FALSE,null,1,0.01,1,FALSE
,5G-ZHQM-SPCZ,FR,null,2.10,2.22,0,14.99,0.16,0.02180,0.07620,0.00039,FALSE,null,1,0.01,1,FALSE
,66-NGZZ-CCER,FR,null,2.10,2.22,0,11.99,1.29,0.14880,0.61430,0.00284,FALSE,null,1,0.01,1,FALSE
,6F-OYIU-W9RY,FR,null,2.10,2.22,0,22.99,8.04,0.42380,3.82860,0.00622,FALSE,null,1,0.00,1,FALSE
,7H-USK0-6JFD,FR,null,4.74,5.00,0,16.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,7O-9NV7-VDWM,FR,null,5.69,6.00,0,18.00,0.50,0.03620,0.08790,0.00078,FALSE,null,3,0.01,1,FALSE
,C4-COO3-QW7D,FR,null,6.64,7.00,0,15.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,D1-2NT7-PJLS,FR,null,2.10,2.22,0,19.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,G8-L99X-RVLY,FR,null,5.69,6.00,0,19.00,13.54,0.48370,2.37960,0.00683,FALSE,null,1,0.01,1,FALSE
,GP-7XCU-KLXV,FR,null,5.69,6.00,0,20.00,2.55,0.16890,0.44810,0.00536,FALSE,null,3,0.01,1,FALSE
,I4-89PG-98J3,FR,null,2.10,2.22,0,13.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,IO-ATAO-RLAU,FR,null,2.10,2.22,0,14.99,0.09,0.01130,0.04290,0.00017,FALSE,null,1,0.00,1,FALSE
,JL-9RL7-J5QC,FR,null,3.79,4.00,0,14.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,K0-Q53I-Z1S4,FR,null,4.74,5.00,0,16.00,2.31,0.17800,0.48730,0.00230,FALSE,null,1,0.01,1,FALSE
,NP-L11U-L3MJ,FR,null,5.69,6.00,0,29.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,P3-T3KT-646F,FR,null,4.74,5.00,0,28.00,0.28,0.02220,0.05910,0.00060,FALSE,null,2,0.01,1,FALSE
,Q3-TNM5-Q507,FR,null,2.10,2.22,0,15.99,0.12,0.01500,0.05710,0.00023,FALSE,null,1,0.00,1,FALSE
,QL-8FOQ-2534,FR,null,2.10,2.22,0,14.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,RM-SPZX-N9A5,FR,null,2.84,3.00,0,13.00,1.43,0.12110,0.50350,0.00402,FALSE,null,2,0.01,1,FALSE
,S8-9CF6-DZ8H,FR,null,5.69,6.00,0,19.99,4.13,0.24280,0.72580,0.00211,FALSE,null,1,0.00,1,FALSE
,SJ-4MZH-XJD7,FR,null,4.74,5.00,0,16.00,4.97,0.32310,1.04750,0.00592,FALSE,null,2,0.01,1,FALSE
,TX-EWYP-0141,FR,null,7.58,8.00,0,17.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,U5-IZY8-IP4B,FR,null,2.84,3.00,0,14.90,3.30,0.23340,1.16030,0.01061,FALSE,null,2,0.01,1,FALSE
,U6-OEQO-R81C,FR,null,2.10,2.22,0,27.99,0.86,0.09660,0.40950,0.00096,FALSE,null,1,0.00,1,FALSE
,W6-1LRU-DA0D,FR,null,2.10,2.22,0,14.99,0.30,0.03660,0.14290,0.00064,FALSE,null,1,0.00,1,FALSE
,WQ-MGIO-5WSL,FR,null,2.10,2.22,0,59.99,19.76,0.52430,9.40950,0.00817,FALSE,null,1,0.00,1,FALSE
,XL-OWR4-3TAN,FR,null,4.74,5.00,0,17.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,1G-LVLY-TY2V,FR,null,9.48,10.00,0,29.00,9.29,0.32030,0.98000,0.10251,FALSE,null,1,0.14,1,FALSE
,48-77M3-G46M,FR,null,2.10,2.22,0,29.99,18.52,0.61750,8.81900,0.03634,FALSE,null,1,0.02,1,FALSE
,4F-R8QP-87FD,FR,null,4.74,5.00,0,15.48,3.66,0.23640,0.77220,0.02902,FALSE,null,1,0.05,1,FALSE
,5G-A31C-O066,FR,null,0.00,0.00,0,39.99,29.84,0.74620,null,null,FALSE,null,1,0.20,1,FALSE
,5R-M11E-ML1H,FR,null,2.10,2.22,0,16.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,6P-ZN2F-UTE0,FR,null,2.10,2.22,0,27.27,15.31,0.56140,7.29050,0.05883,FALSE,null,1,0.03,1,FALSE
,8J-GHBO-YJPT,FR,null,2.10,2.22,0,9.99,null,null,null,null,FALSE,null,1,0.01,1,FALSE
,8V-VJ5M-W3EM,FR,null,2.10,2.22,0,14.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,A5-YOUN-EMGX,FR,null,2.10,2.22,0,14.99,5.88,0.39230,2.80000,0.56049,FALSE,null,1,0.33,1,FALSE
,B3-IK4X-O79I,FR,null,4.74,5.00,0,17.00,6.27,0.36880,1.32280,0.00882,FALSE,null,1,0.01,1,FALSE
,CE-5U8L-J4RF,FR,null,9.48,10.00,0,35.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,D8-LJ19-800Q,FR,null,14.22,15.00,0,39.90,12.46,0.37470,0.87620,0.02273,FALSE,null,2,0.04,1,FALSE
,F8-SYHB-85N6,FR,null,0.00,0.00,0,43.99,33.24,0.75560,null,null,FALSE,null,4,0.18,1,FALSE
,FA-ZCG4-7MZP,FR,null,4.74,5.00,0,14.90,3.16,0.21210,0.66670,0.29101,FALSE,null,1,0.50,1,FALSE
,FS-ZRTS-2PTJ,FR,null,9.48,10.00,0,32.01,null,null,null,null,FALSE,null,1,0.01,1,FALSE
,GS-RFVW-CT3A,FR,null,5.69,6.00,0,20.43,7.42,0.36320,1.30400,0.03262,FALSE,null,1,0.04,1,FALSE
,H6-YDWN-1BQA,FR,null,2.10,2.22,0,14.99,5.88,0.39230,2.80000,0.04005,FALSE,null,1,0.03,1,FALSE
,IL-03IA-JRLJ,FR,null,6.64,7.00,0,19.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,J3-BY88-B2GE,FR,null,9.48,10.00,0,13.00,-2.99,-0.23000,-0.31540,-0.00600,FALSE,null,1,0.02,1,FALSE
,J4-SRUB-XKHV,FR,null,5.69,6.00,0,20.95,null,null,null,null,FALSE,null,1,0.01,1,FALSE
,KJ-L3OV-774Q,FR,null,4.74,5.00,0,14.00,3.18,0.27250,0.67090,0.00921,FALSE,null,1,0.02,1,FALSE
,KT-B8EQ-6ZH4,FR,null,2.10,2.22,0,36.99,23.57,0.63720,11.22380,0.07000,FALSE,null,1,0.03,1,FALSE
,M7-0OSZ-61R6,FR,null,4.74,5.00,0,17.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,PT-TOHL-GXR5,FR,null,3.79,4.00,0,16.00,5.73,0.35810,1.51190,0.04484,FALSE,null,1,0.05,1,FALSE
,QF-YZCS-79FC,FR,null,2.10,2.22,0,13.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,QN-UHEW-5IA7,FR,null,2.10,2.22,0,14.99,4.76,0.31750,2.26670,0.05799,FALSE,null,1,0.05,1,FALSE
,S4-FC7B-TZ8U,FR,null,5.69,6.00,0,22.90,8.05,0.42190,1.41480,0.01914,FALSE,null,2,0.02,1,FALSE
,SH-STQ4-LXGW,FR,null,2.10,2.22,0,14.99,6.08,0.40560,2.89520,0.02414,FALSE,null,1,0.02,1,FALSE
,UI-63W9-V1N5,FR,null,4.74,5.00,0,16.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,UL-NP1F-43TL,FR,null,2.10,2.22,0,15.99,null,null,null,null,FALSE,null,0,null,1,FALSE
,UZ-QEA2-Z9E2,FR,null,2.10,2.22,0,9.99,2.31,0.23120,1.10000,0.05873,FALSE,null,1,0.08,1,FALSE
,W5-WDQ7-T6LI,FR,null,4.74,5.00,0,16.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,"19,95",FR,null,3.59,3.79,0,19.95,3.29,0.21880,0.91650,0.00759,FALSE,null,2,0.01,1,FALSE
,3U-QNJ9-AS4P,FR,null,3.59,3.79,0,17.00,0.18,0.01830,0.05020,0.00033,FALSE,null,2,0.01,1,FALSE
,44-YGAA-SQ1H,FR,null,4.49,4.74,0,19.00,0.37,0.03320,0.08240,0.00053,FALSE,null,2,0.01,1,FALSE
,45-9C0T-3YTS,FR,null,3.59,3.79,0,19.00,0.37,0.03620,0.10170,0.00088,FALSE,null,2,0.01,1,FALSE
,4F-J3P1-RPP8,FR,null,2.25,2.37,0,17.00,0.98,0.09150,0.43700,0.00535,FALSE,null,3,0.01,1,FALSE
,5D-VE91-NOUB,FR,null,2.25,2.37,0,29.90,6.56,0.38260,2.91560,0.01425,FALSE,null,2,0.01,1,FALSE
,8W-VZK4-KIVI,FR,null,2.25,2.37,0,18.00,2.96,0.20610,1.31440,0.01432,FALSE,null,4,0.02,1,FALSE
,BP-ANO2-MBQJ,FR,null,4.05,4.27,0,17.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,DU-TOD9-UIDO,FR,null,2.25,2.37,0,22.40,11.94,0.53990,5.30670,0.01593,FALSE,null,2,0.01,1,FALSE
,E1-46CO-B5MJ,FR,null,0.00,0.00,0,49.99,34.65,0.69310,null,null,FALSE,null,2,0.01,1,FALSE
,FP-GO7T-KSF6,FR,null,5.39,5.69,0,20.00,2.77,0.18520,0.51390,0.00241,FALSE,null,1,0.01,1,FALSE
,FU-7IS3-6SMH,FR,null,5.39,5.69,0,14.96,1.67,0.11160,0.30940,0.00921,FALSE,null,4,0.03,1,FALSE
,FZ-H3ND-DQ5I,FR,null,2.25,2.37,0,22.50,2.11,0.19910,0.93560,0.00683,FALSE,null,2,0.01,1,FALSE
,GP-92M2-29BB,FR,null,6.74,7.11,0,25.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,PU-3V03-JSHG,FR,null,2.69,2.84,0,14.95,0.17,0.01940,0.06320,0.00027,FALSE,null,2,0.00,1,FALSE
,Q4-RPPT-RGNM,FR,null,2.69,2.84,0,19.00,8.87,0.46680,3.29620,0.01801,FALSE,null,3,0.01,1,FALSE
,QU-0V13-X3ZY,FR,null,3.15,3.32,0,20.00,5.59,0.31030,1.77300,0.01526,FALSE,null,3,0.01,1,FALSE
,R9-MNIH-Z6ZR,FR,null,4.49,4.74,0,20.00,6.22,0.31260,1.38530,0.00188,FALSE,null,1,0.00,1,FALSE
,S1-H4UJ-SLWD,FR,null,5.39,5.69,0,15.00,0.60,0.04250,0.11130,0.00119,FALSE,null,2,0.01,1,FALSE
,UI-Q9AG-0LD0,FR,null,3.59,3.79,0,22.00,0.86,0.07060,0.23960,0.00095,FALSE,null,1,0.00,1,FALSE
,XC-B130-L3NK,FR,null,5.39,5.69,0,25.00,null,null,null,null,FALSE,null,0,null,1,FALSE
