afnRemovalShipmentId,afnRemovalOrderId,dataStartTime,dataEndTime,requestDate,shipmentDate,skuId,fnsku,disposition,shippedQuantity,carrier,trackingNumber
,19,2019-01-01,2024-03-19,2023-08-02,2023-08-09,4024,X001RAJAZL,Unsellable,1,LP,6G58236157845
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-19,3728,X001LR0761,Sellable,77,AMZN,FR2211566777
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-11,3728,X001LR0761,Sellable,10,"LP, LP","8G48217489607, 8G48217491853"
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-11,3726,X001LR0G7V,Sellable,21,"LP, LP","8G48217489607, 8G48217491853"
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-19,3724,X001LR0D9R,Sellable,1,LP,8G48216704022
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-19,3727,X001LQYH3L,Sellable,1,LP,8G48216704022
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-19,3727,X001LQYH3L,Sellable,5,LP,8G48216704022
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-02,3728,X001LR0761,Sellable,2,LP,6G58574226777
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-02,3723,X001LR079X,Sellable,22,LP,6G58574226777
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-18,3726,X001LR0G7V,Sellable,34,"LP, LP","8G02271642231, 8G02271642279"
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-01,3725,X001LQYH45,Sellable,1,LP,6G56904608316
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-30,3709,X001KV12KD,Sellable,43,"LP, AMZN, LP","8G02039118732, FR2218775315, 8G02039118695"
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-30,3726,X001LR0G7V,Sellable,10,"LP, AMZN, LP","8G02039118732, FR2218775315, 8G02039118695"
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-30,3725,X001LQYH45,Sellable,8,"LP, AMZN, LP","8G02039118732, FR2218775315, 8G02039118695"
,20,2019-01-01,2024-03-19,2023-07-17,2023-07-30,3724,X001LR0D9R,Sellable,3,"LP, AMZN, LP","8G02039118732, FR2218775315, 8G02039118695"
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-04,3726,X001LR0G7V,Sellable,11,LP,6G59831010726
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-04,3724,X001LR0D9R,Sellable,4,LP,6G59831010726
,20,2019-01-01,2024-03-19,2023-07-17,2023-08-02,3724,X001LR0D9R,Sellable,1,LP,6G59830595095
,21,2019-01-01,2024-03-19,2023-07-02,2023-07-05,3920,X001RE2UX1,Unsellable,1,LP,8G48172753928
,21,2019-01-01,2024-03-19,2023-07-02,2023-07-05,3940,X001RDQEGL,Unsellable,1,LP,8G48172753928
,22,2019-01-01,2024-03-19,2023-06-02,2023-06-13,3996,X001RF3C69,Unsellable,1,LP,6G59801245769
,22,2019-01-01,2024-03-19,2023-06-02,2023-06-13,3913,X001RDXKDV,Unsellable,2,LP,6G59801245769
,22,2019-01-01,2024-03-19,2023-06-02,2023-06-13,3976,X001RDSBSP,Unsellable,1,LP,6G59801245769
,23,2019-01-01,2024-03-19,2023-05-24,2023-05-27,3837,X001RDQEPR,Unsellable,1,LP,8G48170953481
,24,2019-01-01,2024-03-19,2023-05-24,2023-07-21,3812,X001QM06BR,Unsellable,9,LP,6G58573413970
,25,2019-01-01,2024-03-19,2023-03-06,2023-03-15,3389,X001FVI7LP,Unsellable,1,COLIS,24410000028593130
,25,2019-01-01,2024-03-19,2023-03-06,2023-03-09,3730,X001MFGU4Z,Unsellable,1,LP,6G57945915869
,26,2019-01-01,2024-03-19,2023-02-21,2023-03-01,3659,X001KK16GJ,Unsellable,1,LP,6G57944883534
,26,2019-01-01,2024-03-19,2023-02-21,2023-03-01,3730,X001MFGU4Z,Unsellable,1,LP,6G57944883534
,27,2019-01-01,2024-03-19,2023-02-20,2023-02-21,3540,X001GLFRIZ,Sellable,2,LP,6G56898280925
,28,2019-01-01,2024-03-19,2023-01-21,2023-02-06,3516,X001GXJHPR,Unsellable,1,LP,6G57942099098
,28,2019-01-01,2024-03-19,2023-01-21,2023-01-21,1654,X0016K311L,Unsellable,1,LP,8G02037371139
,29,2019-01-01,2024-03-19,2023-01-21,2023-01-21,3742,X001MNARKF,Unsellable,1,BPOST,323212505100032529341030
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2660,X0017TCSLF,Sellable,2,LP,6G57940001888
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,3116,B005D4O0LS,Sellable,1,LP,6G57940001888
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,2658,X0017NX8J7,Sellable,1,LP,6G57940001888
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1529,X00151MBKX,Sellable,1,LP,6G57940001888
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-18,1887,X0016K4GO7,Sellable,1,LP,6G57940001888
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1246,X00142GBU9,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3116,B005D4O0LS,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1612,X0016K3175,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1224,X0013VD965,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1845,X0016JVA8D,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3117,B005D4O0OA,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1309,X0014N1ATF,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,674,X0011M6LDJ,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,886,X0011PA0ER,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,3031,X0018XPT07,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-19,1122,X0013LGHL9,Sellable,1,LP,8G48477708388
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3561,X001HA938F,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3377,X001DZ7F9N,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3766,X001HTMTOB,Sellable,2,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3754,X001HTSS55,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3602,X001HVGSBJ,Sellable,3,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3582,X001HABPOZ,Sellable,3,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3767,X001HTMTNR,Sellable,2,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3416,X001FVIVST,Sellable,3,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,1397,X0014N37AP,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3056,X0018XLFR3,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3769,X001HTMSE7,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3564,X001HABPPT,Sellable,5,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,1365,X0014N378H,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3440,X001FVIVT3,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3349,X001DZ7FEX,Sellable,2,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
,30,2019-01-01,2024-03-19,2023-01-17,2023-01-25,3389,X001FVI7LP,Sellable,1,"LP, LP, LP","8G48210718704, 8G48210722572, 8G48210719411"
