minimumSellingPriceId,skuId,pricingRuleId,enrolledInPanEu,eligibleForPanEu,minimumSellingPriceLocalAndPanEu,minimumSellingPriceEfn,maximumSellingPriceLocalAndPanEu,maximumSellingPriceEfn,currencyCode
,3960,1,TRUE,TRUE,12.06,14.32,18.09,21.48,EUR
,3969,1,TRUE,TRUE,10.95,13.76,16.42,20.64,EUR
,3974,1,TRUE,TRUE,13.16,15.33,19.74,23,EUR
,3975,1,FALSE,TRUE,16.97,21.26,25.45,31.89,EUR
,3981,1,TRUE,TRUE,12.37,14.62,18.55,21.93,EUR
,3982,1,TRUE,TRUE,12.37,14.62,18.55,21.93,EUR
,3983,1,TRUE,TRUE,11.36,13.61,17.04,20.41,EUR
,3988,1,FALSE,TRUE,18.89,24.76,28.34,37.14,EUR
,3989,1,FALSE,TRUE,12.15,14.32,18.23,21.48,EUR
,3990,1,TRUE,TRUE,15.92,21.79,23.88,32.69,EUR
,3991,1,FALSE,TRUE,14.82,16.99,22.23,25.48,EUR
,3995,1,FALSE,TRUE,22.23,28.11,33.34,42.16,EUR
,3998,1,FALSE,TRUE,13.99,17.5,20.98,26.25,EUR
,4003,1,TRUE,TRUE,14.01,16.26,21.02,24.39,EUR
,4004,1,TRUE,TRUE,15.86,18.03,23.79,27.05,EUR
,4005,1,FALSE,TRUE,17.07,19.24,25.61,28.86,EUR
,4011,1,FALSE,TRUE,13.12,15.38,19.68,23.07,EUR
,4012,1,FALSE,TRUE,23.66,27.75,35.49,41.63,EUR
,4019,1,FALSE,TRUE,52.81,56.09,79.22,84.14,EUR
,4020,1,FALSE,TRUE,12.24,15.22,18.36,22.83,EUR
,4023,1,FALSE,TRUE,31.04,34.1,46.56,51.15,EUR
,4024,1,FALSE,TRUE,26.42,28.96,39.63,43.44,EUR
,4025,1,TRUE,TRUE,13.61,17.09,20.41,25.63,EUR
,4026,1,FALSE,TRUE,32.5,36.12,48.75,54.18,EUR
,4027,1,FALSE,TRUE,22.68,25.66,34.02,38.49,EUR
,4030,1,FALSE,TRUE,22.18,24.72,33.27,37.08,EUR
,4031,1,FALSE,TRUE,22.04,24.57,33.06,36.86,EUR
,4038,1,TRUE,TRUE,29.79,34.8,44.69,52.2,EUR
,4041,1,TRUE,FALSE,6.72,10.34,10.08,15.51,EUR
,4042,1,TRUE,TRUE,18.71,21.68,28.07,32.52,EUR
,4044,1,TRUE,TRUE,15.66,18.19,23.49,27.29,EUR
