fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId,fbaFeesLocalAndPanEu,fbaFeesEfn
,1626,20.8,15.2,1.2,220.0,4,4.45,5.61
,1627,22.7,19.8,2.1,410.0,4,3.82,5.61
,1628,18.8,18.4,1.6,458.0,4,6.16,5.61
,1629,23.2,16.8,2.8,939.0,5,3.82,6.17
,1630,17.8,12.0,2.4,299.0,4,5.92,5.61
,1631,22.8,15.1,2.2,550.0,5,4.45,6.17
,1632,19.4,12.0,1.6,181.0,3,4.45,5.57
,1633,21.8,15.0,1.8,300.0,4,4.45,5.61
,1634,22.8,15.0,2.0,820.0,5,4.45,6.17
,1635,19.5,12.0,1.4,160.0,3,3.82,5.57
,1636,18.6,12.6,0.6,80.0,1,4.79,5.06
,1637,23.2,19.2,1.8,600.0,5,3.82,6.17
,1638,19.2,14.6,1.2,259.0,4,3.82,5.61
,1639,25.4,17.8,4.4,1320.0,10,6.16,9.56
,1640,35.2,24.8,0.8,380.0,14,4.45,7.96
,1641,20.8,16.5,2.3,560.0,5,6.16,6.17
,1642,25.8,20.0,1.2,400.0,4,5.92,5.61
,1643,23.8,21.0,1.4,460.0,4,3.34,5.61
,1644,24.0,17.0,1.6,440.0,4,4.45,5.61
,1645,24.0,17.1,1.7,530.0,5,5.92,6.17
,1646,26.6,20.2,2.0,820.0,5,4.45,6.17
,1647,26.6,20.2,2.0,820.0,5,4.45,6.17
,1648,26.8,20.2,1.8,800.0,5,11.56,6.17
,1649,21.8,14.2,3.0,500.0,5,3.82,6.17
,1650,24.0,17.0,5.0,1820.0,11,6.24,10.90
,1651,25.8,19.7,1.9,730.0,5,6.16,6.17
,1652,21.9,14.6,1.9,330.0,4,4.45,5.61
,1653,21.8,13.8,2.0,270.0,4,4.79,5.61
,1654,22.0,14.0,4.0,600.0,5,3.82,6.17
,1655,23.8,17.0,2.2,700.0,5,6.16,6.17
,1656,21.4,16.2,2.1,550.0,5,4.45,6.17
,1657,21.8,14.0,1.8,280.0,4,4.45,5.61
,1658,23.8,16.8,1.8,480.0,5,4.45,6.17
,1659,23.8,20.4,1.6,700.0,5,3.82,6.17
,1660,24.0,16.9,1.4,240.0,4,6.24,5.61
,1661,24.0,16.8,2.2,780.0,5,9.55,6.17
,1662,18.6,14.0,1.2,300.0,4,4.79,5.61
,1663,23.8,17.0,2.8,680.0,5,6.16,6.17
,1664,23.8,18.2,0.8,481.0,5,4.45,6.17
,1665,11.4,10.0,1.4,18.0,2,4.45,5.22
,1666,22.8,17.4,2.4,560.0,5,4.45,6.17
,1667,18.0,12.0,2.0,200.0,3,6.24,5.57
,1668,22.4,14.0,2.6,420.0,5,4.79,6.17
,1669,21.0,13.0,2.0,260.0,4,4.45,5.61
,1670,22.0,15.0,2.0,300.0,4,6.16,5.61
,1671,22.0,14.4,3.0,420.0,5,3.82,6.17
,1672,24.1,15.5,3.4,620.0,5,3.82,6.17
,1673,20.4,13.2,2.4,260.0,4,4.45,5.61
,1674,20.8,13.5,1.8,280.0,4,6.24,5.61
,1675,25.8,19.2,2.0,760.0,5,4.45,6.17
,1676,21.2,13.8,2.6,280.0,5,3.82,6.17
,1677,23.4,15.3,2.7,450.0,5,4.45,6.17
,1678,21.2,13.8,1.2,340.0,4,3.82,5.61
,1679,17.6,13.0,4.0,460.0,5,3.82,6.17
,1680,26.0,20.6,1.0,320.0,4,6.16,5.61
,1681,17.4,12.0,2.2,322.0,4,4.45,5.61
,1682,20.9,14.5,1.8,290.0,4,4.45,5.61
,1683,22.4,17.6,3.2,660.0,5,4.45,6.17
,1684,17.4,12.4,1.8,180.0,3,6.16,5.57
,1685,23.8,17.0,2.6,730.0,5,4.45,6.17
,1686,20.2,18.6,1.4,300.0,4,4.45,5.61
,1687,23.6,16.6,1.8,500.0,5,6.16,6.17
,1688,29.0,23.4,1.9,1070.0,10,4.45,9.56
,1689,26.2,21.2,1.2,600.0,5,10.39,6.17
,1690,24.0,17.4,1.8,590.0,5,4.45,6.17
,1691,23.8,17.0,1.6,460.0,4,6.24,5.61
,1692,23.8,16.8,0.8,440.0,4,6.97,5.61
,1693,28.0,23.4,5.0,520.0,9,4.45,8.70
,1694,24.2,18.9,1.1,330.0,4,4.45,5.61
,1695,20.8,13.6,2.0,220.0,4,6.16,5.61
,1696,23.9,16.1,1.7,350.0,4,6.16,5.61
,1697,21.2,15.5,3.4,460.0,5,6.97,6.17
,1698,21.0,13.4,2.8,400.0,5,6.16,6.17
,1699,23.9,16.1,2.2,520.0,5,6.16,6.17
,1700,21.6,14.4,1.8,220.0,4,3.82,5.61
,1701,23.8,15.4,2.8,480.0,5,3.82,6.17
,1702,16.4,13.8,2.8,600.0,5,4.45,6.17
,1703,16.6,14.0,2.6,600.0,5,3.34,6.17
,1704,16.6,14.1,3.1,600.0,5,3.82,6.17
,1705,20.8,13.0,2.2,260.0,4,6.24,5.61
,1706,21.8,15.0,1.4,220.0,4,5.18,5.61
,1707,20.8,14.4,1.2,322.0,4,3.82,5.61
,1708,17.6,11.4,1.4,259.0,4,2.80,5.61
,1709,20.4,15.0,1.2,399.0,4,5.18,5.61
,1710,21.2,15.0,2.2,400.0,4,4.45,5.61
,1711,23.4,19.0,1.4,500.0,5,3.82,6.17
,1712,28.4,21.6,3.4,1900.0,11,4.45,10.90
,1713,26.0,20.6,2.2,840.0,5,4.79,6.17
,1714,14.8,10.8,3.2,358.0,5,4.45,6.17
,1715,22.6,15.6,3.8,620.0,5,3.82,6.17
,1716,21.8,14.4,2.2,280.0,4,4.45,5.61
,1717,23.2,17.2,2.4,720.0,5,4.45,6.17
,1718,24.0,16.0,1.9,510.0,5,4.45,6.17
,1719,19.2,17.4,0.8,180.0,3,3.82,5.57
,1720,22.7,15.0,2.5,460.0,4,4.45,5.61
,1721,21.6,15.0,1.8,259.0,4,3.82,5.61
,1722,24.0,15.8,3.2,581.0,5,4.45,6.17
,1723,23.8,16.0,3.0,558.0,5,4.45,6.17
,1724,18.8,13.0,1.4,220.0,4,4.45,5.61
,1725,22.8,16.0,2.6,540.0,5,4.45,6.17
,1726,23.2,15.4,2.8,440.0,5,4.45,6.17
,1727,19.6,14.0,2.4,360.0,4,4.45,5.61
,1728,28.8,20.9,1.0,290.0,4,4.79,5.61
,1729,28.4,20.3,0.5,260.0,4,3.34,5.61
,1730,15.2,10.2,1.4,159.0,3,4.45,5.57
,1731,20.9,16.5,2.7,730.0,5,4.45,6.17
,1732,24.0,17.0,1.4,400.0,4,2.80,5.61
,1733,23.8,16.8,2.0,540.0,5,4.45,6.17
,1734,23.9,17.1,2.7,910.0,5,4.45,6.17
,1735,18.8,14.0,2.0,400.0,4,4.45,5.61
,1736,23.8,17.0,2.2,700.0,5,4.79,6.17
,1737,23.8,17.2,1.8,440.0,4,4.45,5.61
,1738,23.9,16.9,2.7,830.0,5,4.79,6.17
,1739,24.0,17.0,3.0,960.0,5,3.82,6.17
,1740,23.8,17.0,1.6,380.0,4,4.79,5.61
,1741,26.0,19.6,1.1,420.0,4,4.45,5.61
,1742,24.0,17.0,1.4,280.0,4,4.79,5.61
,1743,24.0,17.2,2.8,840.0,5,6.16,6.17
,1744,23.8,17.0,2.0,540.0,5,4.45,6.17
,1745,21.0,16.6,3.4,1020.0,10,3.82,9.56
,1746,23.8,17.0,1.8,480.0,5,6.16,6.17
,1747,25.2,22.2,2.8,1020.0,10,3.82,9.56
,1748,25.8,19.6,1.6,400.0,4,4.45,5.61
,1749,23.8,16.8,1.4,420.0,4,4.45,5.61
,1750,25.8,19.4,1.2,440.0,4,4.45,5.61
,1751,18.6,12.6,0.8,100.0,3,3.82,5.57
,1752,17.3,12.2,1.5,40.0,2,6.24,5.22
,1753,17.5,12.2,4.1,380.0,6,6.97,6.81
,1754,17.2,16.6,1.2,200.0,3,3.82,5.57
,1755,17.0,16.8,1.0,60.0,2,6.16,5.22
,1756,17.0,16.8,1.0,180.0,3,4.45,5.57
,1757,16.8,16.5,1.0,180.0,3,4.45,5.57
,1758,17.0,16.7,1.1,170.0,3,4.45,5.57
,1759,17.8,12.4,3.0,300.0,5,6.16,6.17
,1760,25.6,18.4,0.4,140.0,3,3.82,5.57
,1761,24.6,24.6,0.8,420.0,9,3.82,8.70
,1762,9.6,9.6,9.4,458.0,9,4.45,8.70
,1763,20.3,13.5,2.0,320.0,4,4.45,5.61
,1764,18.2,12.4,1.2,141.0,3,4.45,5.57
,1765,22.0,14.0,1.6,260.0,4,4.45,5.61
,1766,17.8,11.0,1.2,120.0,3,4.45,5.57
,1767,21.2,16.0,3.0,860.0,5,3.82,6.17
,1768,18.8,12.0,1.8,281.0,4,4.45,5.61
,1769,21.2,13.9,1.4,210.0,3,4.45,5.57
,1770,18.8,12.8,1.6,220.0,4,4.45,5.61
,1771,17.4,12.0,1.0,80.0,1,4.45,5.06
,1772,23.0,16.2,1.6,620.0,5,5.92,6.17
,1773,17.8,12.8,1.0,120.0,3,6.16,5.57
,1774,24.0,16.0,3.0,630.0,5,5.18,6.17
,1775,21.8,15.0,1.8,300.0,4,3.34,5.61
,1776,18.2,12.2,2.0,220.0,4,4.49,5.61
,1777,17.8,13.0,2.4,400.0,4,3.34,5.61
,1778,21.8,15.0,2.2,300.0,4,3.34,5.61
,1779,17.8,11.8,1.6,160.0,3,6.77,5.57
,1780,17.8,13.0,1.2,120.0,3,3.34,5.57
,1781,24.0,17.2,1.9,780.0,5,3.34,6.17
,1782,21.9,15.0,1.8,300.0,4,3.34,5.61
,1783,24.0,17.4,1.5,560.0,5,4.45,6.17
,1784,17.5,12.9,1.0,60.0,1,4.45,5.06
,1785,18.4,18.2,1.2,40.0,2,3.34,5.22
,1786,17.4,9.6,5.6,600.0,6,2.80,6.81
,1787,23.8,17.0,1.6,540.0,5,3.34,6.17
,1788,23.9,17.1,1.2,350.0,4,4.79,5.61
,1789,24.0,17.0,2.6,860.0,5,4.94,6.17
,1790,24.0,17.0,2.4,680.0,5,3.34,6.17
,1791,23.8,16.8,1.4,460.0,4,3.34,5.61
,1792,23.8,17.0,1.6,440.0,4,3.34,5.61
,1793,24.0,17.0,1.0,500.0,5,3.34,6.17
,1794,20.8,16.0,1.4,280.0,4,3.34,5.61
,1795,25.8,19.2,1.8,620.0,5,3.34,6.17
,1796,24.0,17.0,1.8,540.0,5,3.34,6.17
,1797,19.0,13.0,0.5,20.0,1,9.36,5.06
,1798,17.6,11.8,1.4,80.0,3,5.18,5.57
,1799,20.0,16.0,1.5,160.0,3,6.77,5.57
,1800,12.0,10.2,9.0,220.0,8,3.34,7.26
,1801,18.6,18.2,1.6,220.0,4,4.45,5.61
,1802,11.8,10.2,9.0,220.0,8,4.45,7.26
,1803,17.6,10.6,3.0,200.0,5,3.34,6.17
,1804,17.8,10.8,3.2,340.0,5,2.70,6.17
,1805,17.6,10.8,2.4,200.0,3,5.18,5.57
,1806,17.8,10.6,2.6,280.0,5,4.45,6.17
,1807,23.0,15.0,3.0,560.0,5,3.34,6.17
,1808,22.0,13.9,2.0,280.0,4,5.18,5.61
,1809,21.4,14.9,1.8,358.0,4,5.50,5.61
,1810,22.8,15.0,3.2,610.0,5,9.36,6.17
,1811,21.8,13.8,2.2,380.0,4,3.34,5.61
,1812,19.8,13.8,2.2,300.0,4,4.79,5.61
,1813,21.4,13.4,3.0,420.0,5,3.34,6.17
,1814,21.5,14.0,2.9,490.0,5,3.34,6.17
,1815,22.0,14.8,2.0,160.0,3,3.34,5.57
,1816,14.8,10.8,1.4,140.0,3,3.34,5.57
,1817,20.3,15.7,2.3,580.0,5,4.79,6.17
,1818,25.4,19.5,1.5,610.0,5,5.18,6.17
,1819,18.8,13.6,1.8,160.0,3,4.45,5.57
,1820,24.0,16.0,2.8,500.0,5,3.34,6.17
,1821,24.0,16.1,4.4,880.0,6,3.34,6.81
,1822,22.0,14.0,3.5,560.0,5,3.34,6.17
,1823,16.8,10.6,2.0,180.0,3,3.34,5.57
,1824,17.6,10.4,1.8,181.0,3,3.34,5.57
,1825,17.6,11.0,1.2,118.0,3,3.34,5.57
,1826,18.1,11.2,0.9,100.0,3,3.34,5.57
,1827,18.0,11.0,1.2,120.0,3,3.34,5.57
,1828,21.4,11.6,1.6,322.0,4,3.34,5.61
,1829,19.0,12.4,1.8,240.0,4,3.34,5.61
,1830,22.0,13.9,1.2,190.0,3,3.34,5.57
,1831,14.8,9.8,2.8,159.0,5,3.34,6.17
,1832,25.8,19.0,1.6,798.0,5,3.34,6.17
,1833,25.9,20.0,1.4,810.0,5,3.34,6.17
,1834,24.5,19.6,1.2,530.0,5,3.34,6.17
,1835,23.9,16.0,3.3,840.0,5,2.80,6.17
,1836,21.6,14.2,1.6,240.0,4,3.34,5.61
,1837,17.4,11.0,1.4,322.0,4,3.34,5.61
,1838,17.8,11.0,2.0,220.0,4,3.82,5.61
,1839,22.0,14.2,3.4,540.0,5,3.34,6.17
,1840,21.8,14.0,2.0,320.0,4,4.45,5.61
,1841,22.0,14.0,2.2,260.0,4,3.82,5.61
,1842,22.0,14.0,2.4,390.0,4,4.45,5.61
,1843,21.8,14.0,2.0,320.0,4,3.34,5.61
,1844,17.8,10.8,4.0,400.0,5,3.34,6.17
,1845,18.0,10.8,1.8,140.0,3,3.34,5.57
,1846,18.8,13.0,2.6,360.0,5,3.34,6.17
