productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
210,FR,12,37474,0.01500
211,FR,12,24982,0.01000
212,FR,12,12491,0.00500
213,FR,12,2498,0.00100
214,FR,12,1249,0.00050
215,FR,12,250,0.00010
216,FR,12,0,0.00000
217,FR,13,3887151,1.00000
218,FR,13,1943576,0.50000
219,FR,13,1554860,0.40000
220,FR,13,1166145,0.30000
221,FR,13,777430,0.20000
222,FR,13,583073,0.15000
223,FR,13,388715,0.10000
224,FR,13,194358,0.05000
225,FR,13,155486,0.04000
226,FR,13,116615,0.03000
227,FR,13,77743,0.02000
228,FR,13,58307,0.01500
229,FR,13,38872,0.01000
230,FR,13,19436,0.00500
231,FR,13,3887,0.00100
232,FR,13,1944,0.00050
233,FR,13,389,0.00010
234,FR,13,0,0.00000
235,FR,14,4159766,1.00000
236,FR,14,2079883,0.50000
237,FR,14,1663906,0.40000
238,FR,14,1247930,0.30000
239,FR,14,831953,0.20000
240,FR,14,623965,0.15000
241,FR,14,415977,0.10000
242,FR,14,207988,0.05000
243,FR,14,166391,0.04000
244,FR,14,124793,0.03000
245,FR,14,83195,0.02000
246,FR,14,62396,0.01500
247,FR,14,41598,0.01000
248,FR,14,20799,0.00500
249,FR,14,4160,0.00100
250,FR,14,2080,0.00050
251,FR,14,416,0.00010
252,FR,14,0,0.00000
253,FR,15,4572853,1.00000
254,FR,15,2286427,0.50000
255,FR,15,1829141,0.40000
256,FR,15,1371856,0.30000
257,FR,15,914571,0.20000
258,FR,15,685928,0.15000
259,FR,15,457285,0.10000
260,FR,15,228643,0.05000
261,FR,15,182914,0.04000
262,FR,15,137186,0.03000
263,FR,15,91457,0.02000
264,FR,15,68593,0.01500
265,FR,15,45729,0.01000
266,FR,15,22864,0.00500
267,FR,15,4573,0.00100
268,FR,15,2286,0.00050
269,FR,15,457,0.00010
270,FR,15,0,0.00000
271,FR,16,4149991,1.00000
272,FR,16,2074996,0.50000
273,FR,16,1659996,0.40000
274,FR,16,1244997,0.30000
275,FR,16,829998,0.20000
276,FR,16,622499,0.15000
277,FR,16,414999,0.10000
278,FR,16,207500,0.05000
279,FR,16,166000,0.04000
280,FR,16,124500,0.03000
281,FR,16,83000,0.02000
282,FR,16,62250,0.01500
283,FR,16,41500,0.01000
284,FR,16,20750,0.00500
285,FR,16,4150,0.00100
286,FR,16,2075,0.00050
287,FR,16,415,0.00010
288,FR,16,0,0.00000
289,FR,17,4288884,1.00000
290,FR,17,2144442,0.50000
291,FR,17,1715554,0.40000
292,FR,17,1286665,0.30000
293,FR,17,857777,0.20000
294,FR,17,643333,0.15000
295,FR,17,428888,0.10000
296,FR,17,214444,0.05000
297,FR,17,171555,0.04000
298,FR,17,128667,0.03000
299,FR,17,85778,0.02000
300,FR,17,64333,0.01500
301,FR,17,42889,0.01000
302,FR,17,21444,0.00500
303,FR,17,4289,0.00100
304,FR,17,2144,0.00050
305,FR,17,429,0.00010
306,FR,17,0,0.00000
307,FR,18,4226549,1.00000
308,FR,18,2113275,0.50000
309,FR,18,1690620,0.40000
310,FR,18,1267965,0.30000
311,FR,18,845310,0.20000
312,FR,18,633982,0.15000
313,FR,18,422655,0.10000
314,FR,18,211327,0.05000
315,FR,18,169062,0.04000
316,FR,18,126796,0.03000
317,FR,18,84531,0.02000
318,FR,18,63398,0.01500
319,FR,18,42265,0.01000
320,FR,18,21133,0.00500
321,FR,18,4227,0.00100
322,FR,18,2113,0.00050
323,FR,18,423,0.00010
324,FR,18,0,0.00000
325,FR,19,4047498,1.00000
326,FR,19,2023749,0.50000
327,FR,19,1618999,0.40000
328,FR,19,1214249,0.30000
329,FR,19,809500,0.20000
330,FR,19,607125,0.15000
331,FR,19,404750,0.10000
332,FR,19,202375,0.05000
333,FR,19,161900,0.04000
334,FR,19,121425,0.03000
335,FR,19,80950,0.02000
336,FR,19,60712,0.01500
337,FR,19,40475,0.01000
338,FR,19,20237,0.00500
339,FR,19,4047,0.00100
340,FR,19,2024,0.00050
341,FR,19,405,0.00010
342,FR,19,0,0.00000
343,FR,20,3232303,1.00000
344,FR,20,1616152,0.50000
345,FR,20,1292921,0.40000
346,FR,20,969691,0.30000
347,FR,20,646461,0.20000
348,FR,20,484845,0.15000
349,FR,20,323230,0.10000
350,FR,20,161615,0.05000
351,FR,20,129292,0.04000
352,FR,20,96969,0.03000
353,FR,20,64646,0.02000
354,FR,20,48485,0.01500
355,FR,20,32323,0.01000
356,FR,20,16162,0.00500
357,FR,20,3232,0.00100
358,FR,20,1616,0.00050
359,FR,20,323,0.00010
360,FR,20,0,0.00000
361,FR,21,3222681,1.00000
362,FR,21,1611341,0.50000
363,FR,21,1289072,0.40000
364,FR,21,966804,0.30000
365,FR,21,644536,0.20000
366,FR,21,483402,0.15000
367,FR,21,322268,0.10000
368,FR,21,161134,0.05000
369,FR,21,128907,0.04000
370,FR,21,96680,0.03000
371,FR,21,64454,0.02000
372,FR,21,48340,0.01500
373,FR,21,32227,0.01000
374,FR,21,16113,0.00500
375,FR,21,3223,0.00100
376,FR,21,1611,0.00050
377,FR,21,322,0.00010
378,FR,21,0,0.00000
379,FR,22,4239624,1.00000
380,FR,22,2119812,0.50000
381,FR,22,1695850,0.40000
382,FR,22,1271887,0.30000
383,FR,22,847925,0.20000
384,FR,22,635944,0.15000
385,FR,22,423962,0.10000
386,FR,22,211981,0.05000
387,FR,22,169585,0.04000
388,FR,22,127189,0.03000
389,FR,22,84792,0.02000
390,FR,22,63594,0.01500
391,FR,22,42396,0.01000
392,FR,22,21198,0.00500
393,FR,22,4240,0.00100
394,FR,22,2120,0.00050
395,FR,22,424,0.00010
396,FR,22,0,0.00000
397,FR,23,4163528,1.00000
398,FR,23,2081764,0.50000
399,FR,23,1665411,0.40000
400,FR,23,1249058,0.30000
401,FR,23,832706,0.20000
402,FR,23,624529,0.15000
403,FR,23,416353,0.10000
404,FR,23,208176,0.05000
405,FR,23,166541,0.04000
406,FR,23,124906,0.03000
407,FR,23,83271,0.02000
